address,company,detail,position
上海,"
软通动力
",本科以上 | 1年以上 | 全职 | 12.0-18.0万元,手机测试工程师
深圳,"
软通动力
",本科以上 | 5年以上 | 全职 | 24.0-48.0万元,云计算工程师高级
西安,"
软通动力
",本科以上 | 3年以上 | 全职 | 18.0-36.0万元,数通工程师
北京,"
软通动力
",8年以上 | 全职,云业务架构师
深圳,"
软通动力
",本科以上 | 1年以上 | 全职 | 8.4-10.8万元,看点视频评论运营-腾讯
廊坊,"
软通动力
",本科以上 | 2年以上 | 全职 | 12.0-18.0万元,业务迁移经理
南昌,"
软通动力
",本科以上 | 5年以上 | 全职 | 33.6-54.0万元,解决方案架构师
北京,"
软通动力
",本科以上 | 3年以上 | 全职 | 21.6-43.2万元,解决方案助理
北京,"
软通动力
",本科以上 | 3年以上 | 全职 | 26.0-39.0万元,高级咨询顾问
深圳,"
软通动力
",本科以上 | 4年以上 | 全职 | 14.4-36.0万元,BI工程师
北京,"
软通动力
",大专以上 | 1-3年 | 全职 | 7-9K,薪酬福利专员
深圳,"
软通动力
",大专以上 | 2年以上 | 全职 | 9.6-13.2万元,厘米秀商务合作经理-腾讯
北京,"
软通动力
",本科以上 | 5年以上 | 全职 | 21.6-48.0万元,虚拟化工程师
北京,"
软通动力
",大专以上 | 2年以上 | 全职 | 8.4-9.6万元,市场专员-腾讯
北京,"
软通动力
",本科以上 | 2年以上 | 全职 | 12.0-24.0万元,高级应用虚拟化工程师
上海,"
爱可生
",本科以上 | 3年以上 | 全职 | 16.9-32.5万元,java架构师
上海,"
爱可生
",本科以上 | 5年以上 | 全职 | 18.0-36.0万元,MES高级实施工程师
上海,"
爱可生
",本科以上 | 3年以上 | 全职 | 9.6-18.0万元,渠道运营经理
上海,"
爱可生
",本科以上 | 3-5年 | 全职 | 15000-22000元,项目经理
武汉,"
爱可生
",大专以上 | 1-3年 | 全职 | 4000-8000元,实施工程师
上海,"
爱可生
",大专以上 | 5年以上 | 全职 | 24.0-36.0万元,PLM售前咨询顾问
上海,"
爱可生
",本科以上 | 5年以上 | 全职 | 13.2-15.6万元,大数据售前工程师
上海,"
爱可生
",本科以上 | 3年以上 | 全职 | 16.9-32.5万元,Java中间件开发工程师
上海,"
爱可生
",本科以上 | 5-10年 | 全职 | 20000-30000元,定制化项目经理
深圳,"
爱可生
",本科以上 | 3-5年 | 全职 | 12000-24000元,MySQLDBA
上海,"
爱可生
",大专以上 | 全职 | 13.0-26.0万元,MySQL DBA
上海,"
爱可生
",本科以上 | 3年以上 | 全职 | 19.5-35.1万元,产品经理
上海,"
爱可生
",本科以上 | 3年以上 | 全职 | 15.6-29.9万元,前端开发
北京,"
爱可生
",本科以上 | 3-4年经验 | 全职 | 1-2.5万/月,MySQL DBA
深圳,"
爱可生
",本科以上 | 全职 | 12.0-24.0万元,销售经理
成都,"
复旦奥医
",本科以上 | 8年以上 | 全职 | 30.0-60.0万元,医药医务临床营养副总总监
上海,"
复旦奥医
",本科以上 | 10年以上 | 全职 | 24.0-36.0万元,人力资源总监CHO
成都,"
复旦奥医
",本科以上 | 全职 | 24.0-60.0万元,医务医药销售总监经理
武汉,"
复旦奥医
",本科以上 | 全职 | 24.0-60.0万元,医务医药销售总监经理
兰州,"
复旦奥医
",大专以上 | 3年以上 | 全职 | 18.0-24.0万元,医药医务临床营养经理主管
济南,"
复旦奥医
",本科以上 | 全职 | 24.0-60.0万元,医务医药销售总监经理
上海,"
复旦奥医
",本科以上 | 全职 | 72.0-108.0万元,医务医药营销销售副总(临床营养特医医院推广患教
上海,"
复旦奥医
",本科以上 | 全职 | 14.4-28.8万元,研发amp 专利amp 申报总监经理
上海,"
复旦奥医
",全职 | 9.6-21.6万元,总裁总经理秘书
哈尔滨,"
复旦奥医
",大专以上 | 3年以上 | 全职 | 18.0-24.0万元,医药医务临床营养经理主管
乌鲁木齐,"
复旦奥医
",大专以上 | 3年以上 | 全职 | 18.0-24.0万元,医药医务临床营养经理主管
武汉,"
复旦奥医
",大专以上 | 3年以上 | 全职 | 18.0-24.0万元,医药医务临床营养经理主管
上海,"
复旦奥医
",本科以上 | 8-9年经验 | 全职 | 1.2-6万/月,医务医药销售总监 经理
大连,"
复旦奥医
",本科以上 | 全职 | 24.0-60.0万元,医务医药销售总监经理
上海,"
复旦奥医
",中技以上 | 全职 | 7.2-12.0万元,电话营销电话销售
广州,"
网易
",本科以上 | 2年以上 | 全职 | 12.0-24.0万元,执行策划
杭州,"
网易
",本科以上 | 1年以上 | 全职,手游客户端开发
广州,"
网易
",本科以上 | 1-3年 | 全职 | 15000-25000元,游戏开发工程师
上海,"
网易
",本科以上 | 5年以上 | 全职 | 24.0-48.0万元,资深服务端开发
