新闻标题,链接
白宫医生：特朗普连续多日新冠病毒检测结果呈阴性,http://www.bjnews.com.cn/world/2020/10/13/776888.html
特朗普感染新冠后首场竞选演讲：我会亲吻所有观众,http://toutiao.com/group/6882907410629919240/
参考快讯：特朗普发推称自己对新冠免疫 推文被标记为误导信息,http://m.cankaoxiaoxi.com/toutiao/ckkx/kuaixun20201012/2422431.shtml
闻所未闻！特朗普开始跑集会，美媒拒绝指派记者随行：害怕感染,http://toutiao.com/group/6883085812708147716/
快讯！白宫医生：特朗普连续几天新冠病毒检测结果呈阴性,https://3w.huanqiu.com/a/c36dc8/40GP4o9zrGa?agt=20
特朗普直面数千人重申已“免疫”世卫和疾控机构怎么说？,https://3w.huanqiu.com/a/536b97/40GfmYVQ9Wl?agt=20
真•尴尬！特朗普刚发推宣布自己已对新冠免疫，推特马上标记：“传播误导信息”,https://3w.huanqiu.com/a/c36dc8/40FbNrTOvht?agt=20
深陷四面楚歌，特朗普真的慌了：罕见向死对头服软，却碰一鼻子灰,http://toutiao.com/group/6883029222818841095/
美媒：特朗普暗示自己可能在与阵亡美军家属会面时感染新冠,https://m.thepaper.cn/newsDetail_forward_9525002
真有UFO？特朗普确实信了：疫期异象暴增美国建立前所未有的军队,http://toutiao.com/group/6883009044529807885/
特朗普确诊后首场竞选演讲：我会亲吻所有人,http://toutiao.com/group/6882987300813439496/
大清早，特朗普发推猛攻波特兰示威者：把这群畜生关进监狱,https://3w.huanqiu.com/a/c36dc8/40G22izXRCB?agt=20
特朗普发推称自己对新冠“免疫”，被推特标记为“误导”,https://m.thepaper.cn/newsDetail_forward_9525074
特朗普出院后首次在白宫举行公共活动，美媒：罔顾生命,https://www.guancha.cn/internation/2020_10_11_567706.shtml
特朗普出院后首场集会又是献吻又是热舞 网友群嘲：无异于自杀,http://toutiao.com/group/6882940655534866947/
美媒：特朗普狂赞自己打败新冠病毒不忘黑中国 吹已经免疫不会传染就不知是否阴性,http://news.chinaxiaokang.com/dujiazhuangao/20201012/1056806.html
特朗普称已“停药”：因新冠折损元气,http://m.cankaoxiaoxi.com/toutiao/world/20201011/2422406.shtml
特朗普称自己已完全康复，美医学专家质疑：现在说还为时过早！,http://toutiao.com/group/6883005028370645508/
再生元CEO：特朗普接受抗体疗法是个案，公司已生产5万剂,https://m.thepaper.cn/newsDetail_forward_9527175
74岁特朗普精气神十足，扭动腰肢喊话支持者：我真想亲吻每一个人,http://toutiao.com/group/6883042328123015694/
74岁特朗普精气神十足，扭动腰肢喊话支持者：我真想亲吻每一个人,http://toutiao.com/group/6882997832484127235/
特朗普：联邦最高法院大法官补缺要“立刻马上”拜登：俩月后再说,https://3w.huanqiu.com/a/24d596/3zxbJea7KGE?agt=20
特朗普：如果我连任，将与伊朗签署一项“非常公平的协议”,http://toutiao.com/group/6873029353601663500/
特朗普语出惊人：我感染新冠病毒是“上帝的祝福”​,http://toutiao.com/group/6881070307159835147/
特朗普：如果我输了大选，你们得开始学中文了,http://toutiao.com/group/6859905949235151363/
未痊愈仍强撑，美媒曝光特朗普小心思：出院路上想撕衣变超人,http://toutiao.com/group/6882915172382409228/
快讯！特朗普：美国将在数周内研制出新冠疫苗,https://3w.huanqiu.com/a/c36dc8/3ztd0yFizIf?agt=20
特朗普：新冠病毒是“功夫流感”我已下令放慢检测速度,http://toutiao.com/group/6840645888751174155/
特朗普：如成功连任将协商寻求第三个任期,http://my-h5news.app.xinhuanet.com/h5/article.html?articleId=76cf66bf025ab93b3f05873d4df6c955
特朗普：中印边境“形势紧张”，美国愿意提供帮助,http://toutiao.com/group/6868805205278851588/
指责变炫耀？特朗普：我们拥有你从未见过的武器，中俄都没有！,http://toutiao.com/group/6871097147345863171/
福奇：特朗普“可能”已获得新冠病毒暂时免疫力，但并非永久,https://m.thepaper.cn/newsDetail_forward_9541541
又瞎扯！特朗普：我也许会签署行政令禁止拜登当总统,http://toutiao.com/group/6874841456167617038/
特朗普：我想…再谈谈 朝鲜：我不接,http://toutiao.com/group/6847666707100598788/
“转阴”没几天，特朗普密集重启标志性竞选集会，美媒：行事依旧“特朗普”,https://export.shobserver.com/toutiao/html/299502.html
白宫外发生枪击致记者会中断，特朗普：这世界太危险,http://toutiao.com/group/6859514534755992075/
特朗普：若连任，考虑解雇所有内阁成员,http://toutiao.com/group/6861395382245523971/
特朗普“复工”演讲，美媒：发了2000份邀请，去了400人,http://toutiao.com/group/6882563611298890243/
特朗普：我们不是世界警察,http://toutiao.com/group/6838005749327593997/
早知新冠致命却不说？特朗普：我是为了减少恐慌,https://3w.huanqiu.com/a/24d596/3zq3lZbjHnr?agt=20
特朗普：学校必须开学，家长因为看孩子压力大正在死去,http://toutiao.com/group/6849571355784905219/
特朗普：很多时候我都在“夸大疫情”，并未淡化其威胁,https://m.thepaper.cn/newsDetail_forward_9198807
特朗普：来参加集会的都是勇士,http://toutiao.com/group/6840624388874699276/
被质疑没有“总统样”，特朗普：我在战斗，没空完全表现得像个总统,https://3w.huanqiu.com/a/c36dc8/3zu9MBOMd7R?agt=20
特朗普：很多朋友听说TikTok被禁 都给我打电话,http://toutiao.com/group/6857728001434452491/
累计确诊逼近450万，特朗普：永久封锁根本不是解决问题的方法,https://3w.huanqiu.com/a/c36dc8/3zH5r0sbYG1?agt=20
又想插手？特朗普：乐意介入调解中印边境争端,https://3w.huanqiu.com/a/c36dc8/3zkw2sQNrfg?agt=20
特朗普：我被流感的致死人数吓到了！ 话刚说完 现场有人咳了一声,http://toutiao.com/group/6797959075876307469/
“倒像运动”愈演愈烈，特朗普：我将签令建个“国家花园”，专门放雕像,https://3w.huanqiu.com/a/c36dc8/3yuneTNQq7x?agt=20
特朗普：要像对待流感一样应对新冠病毒 勤洗手！,http://toutiao.com/group/6797965092731224587/
特朗普：不再将新冠病毒称为中国病毒,http://toutiao.com/group/6807974324830470668/
特朗普：新冠病毒会像奇迹一样消失 但也可能变得更糟,http://toutiao.com/group/6798441491610993155/
特朗普：开门！美国要吃肉,https://3w.huanqiu.com/a/9eda3d/3y20pfxpjWt?agt=20
美媒重磅：特朗普打造权钱交易王国 上台后超两百个客户与他家族勾连获利,http://news.chinaxiaokang.com/dujiazhuangao/20201012/1056936.html
"特朗普：""暴徒""，敢抢劫就开枪",http://mp.weixin.qq.com/s?__biz=MjM5MjA4MjA4MA==&mid=2654751580&idx=1&sn=4586a2356dbcbac4f8f5be69d2bf1cea
特朗普：即便有“第二波疫情”，也不会关闭经济,https://wap.peopleapp.com/article/5519803/5440370
特朗普：新冠病毒疫情对美国的打击远超珍珠港事件和911恐袭,https://3w.huanqiu.com/a/72d6dc/3y8RzlkZQm5?agt=20
特朗普：我最懂……但我不负责！,http://toutiao.com/group/6821373695617925635/
特朗普：美国很快击败新冠病毒，并将进入“黄金时代”,https://3w.huanqiu.com/a/9eda3d/3zEwQrntnvv?agt=20
现场！特朗普：美国是印度最忠诚的朋友！话一说完 全场反应激烈,http://toutiao.com/group/6797210467749069316/
特朗普：我打电话慰问英国首相 他第一句话就说“需要呼吸机”,http://toutiao.com/group/6809107351728030211/
